Datetime,Adj Close,Volume,Adj Close(t-1),Volume(t-1),Adj Close(t-2),Volume(t-2),Adj Close(t-3),Volume(t-3),Adj Close(t-4),Volume(t-4),Adj Close(t-5),Volume(t-5),Adj Close(t-6),Volume(t-6),Adj Close(t-7),Volume(t-7)
2024-04-25 11:13:00-04:00,168.67,50323,168.62,74431.0,168.63,85478.0,168.62,58611.0,168.6,37257.0,168.61,68772.0,168.65,42913.0,168.62,62961.0
2024-04-25 11:14:00-04:00,168.83,86412,168.67,50323.0,168.62,74431.0,168.63,85478.0,168.62,58611.0,168.6,37257.0,168.61,68772.0,168.65,42913.0
2024-04-25 11:15:00-04:00,168.8,95262,168.83,86412.0,168.67,50323.0,168.62,74431.0,168.63,85478.0,168.62,58611.0,168.6,37257.0,168.61,68772.0
2024-04-25 11:16:00-04:00,168.63,96490,168.8,95262.0,168.83,86412.0,168.67,50323.0,168.62,74431.0,168.63,85478.0,168.62,58611.0,168.6,37257.0
2024-04-25 11:17:00-04:00,168.61,56029,168.63,96490.0,168.8,95262.0,168.83,86412.0,168.67,50323.0,168.62,74431.0,168.63,85478.0,168.62,58611.0
2024-04-25 11:18:00-04:00,168.54,103962,168.61,56029.0,168.63,96490.0,168.8,95262.0,168.83,86412.0,168.67,50323.0,168.62,74431.0,168.63,85478.0
2024-04-25 11:19:00-04:00,168.65,100159,168.54,103962.0,168.61,56029.0,168.63,96490.0,168.8,95262.0,168.83,86412.0,168.67,50323.0,168.62,74431.0
2024-04-25 11:20:00-04:00,168.62,51341,168.65,100159.0,168.54,103962.0,168.61,56029.0,168.63,96490.0,168.8,95262.0,168.83,86412.0,168.67,50323.0
2024-04-25 11:21:00-04:00,168.58,65049,168.62,51341.0,168.65,100159.0,168.54,103962.0,168.61,56029.0,168.63,96490.0,168.8,95262.0,168.83,86412.0
2024-04-25 11:22:00-04:00,168.61,54630,168.58,65049.0,168.62,51341.0,168.65,100159.0,168.54,103962.0,168.61,56029.0,168.63,96490.0,168.8,95262.0
2024-04-25 11:23:00-04:00,168.53,83549,168.61,54630.0,168.58,65049.0,168.62,51341.0,168.65,100159.0,168.54,103962.0,168.61,56029.0,168.63,96490.0
2024-04-25 11:24:00-04:00,168.57,116151,168.53,83549.0,168.61,54630.0,168.58,65049.0,168.62,51341.0,168.65,100159.0,168.54,103962.0,168.61,56029.0
2024-04-25 11:25:00-04:00,168.57,63769,168.57,116151.0,168.53,83549.0,168.61,54630.0,168.58,65049.0,168.62,51341.0,168.65,100159.0,168.54,103962.0
2024-04-25 11:26:00-04:00,168.59,74887,168.57,63769.0,168.57,116151.0,168.53,83549.0,168.61,54630.0,168.58,65049.0,168.62,51341.0,168.65,100159.0
2024-04-25 11:27:00-04:00,168.49,150824,168.59,74887.0,168.57,63769.0,168.57,116151.0,168.53,83549.0,168.61,54630.0,168.58,65049.0,168.62,51341.0
2024-04-25 11:28:00-04:00,168.52,115495,168.49,150824.0,168.59,74887.0,168.57,63769.0,168.57,116151.0,168.53,83549.0,168.61,54630.0,168.58,65049.0
2024-04-25 11:29:00-04:00,168.57,76102,168.52,115495.0,168.49,150824.0,168.59,74887.0,168.57,63769.0,168.57,116151.0,168.53,83549.0,168.61,54630.0
2024-04-25 11:30:00-04:00,168.53,82738,168.57,76102.0,168.52,115495.0,168.49,150824.0,168.59,74887.0,168.57,63769.0,168.57,116151.0,168.53,83549.0
2024-04-25 11:31:00-04:00,168.42,139274,168.53,82738.0,168.57,76102.0,168.52,115495.0,168.49,150824.0,168.59,74887.0,168.57,63769.0,168.57,116151.0
2024-04-25 11:32:00-04:00,168.35,75535,168.42,139274.0,168.53,82738.0,168.57,76102.0,168.52,115495.0,168.49,150824.0,168.59,74887.0,168.57,63769.0
2024-04-25 11:33:00-04:00,168.23,190474,168.35,75535.0,168.42,139274.0,168.53,82738.0,168.57,76102.0,168.52,115495.0,168.49,150824.0,168.59,74887.0
2024-04-25 11:34:00-04:00,168.21,122593,168.23,190474.0,168.35,75535.0,168.42,139274.0,168.53,82738.0,168.57,76102.0,168.52,115495.0,168.49,150824.0
2024-04-25 11:35:00-04:00,168.33,105098,168.21,122593.0,168.23,190474.0,168.35,75535.0,168.42,139274.0,168.53,82738.0,168.57,76102.0,168.52,115495.0
2024-04-25 11:36:00-04:00,168.32,65475,168.33,105098.0,168.21,122593.0,168.23,190474.0,168.35,75535.0,168.42,139274.0,168.53,82738.0,168.57,76102.0
2024-04-25 11:37:00-04:00,168.39,50000,168.32,65475.0,168.33,105098.0,168.21,122593.0,168.23,190474.0,168.35,75535.0,168.42,139274.0,168.53,82738.0
2024-04-25 11:38:00-04:00,168.47,76035,168.39,50000.0,168.32,65475.0,168.33,105098.0,168.21,122593.0,168.23,190474.0,168.35,75535.0,168.42,139274.0
